clouds.all,coord.lat,coord.lon,dt,id,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain,rain.1h,rain.3h,snow,snow.3h,sys.country,weather,wind.deg,wind.gust,wind.speed
75,17.0149,54.0957,1553547000,286621,,74,1013.0,,78.8,78.8,78.8,Salalah,,,,,,OM,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",210.0,,9.17
75,55.7433,-97.8635,1553547600,6165406,,33,1024.0,,28.4,28.4,28.4,Thompson,,,,,,CA,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",180.0,,6.93
24,29.2909,117.2041,1553551364,1805680,1008.53,84,1021.02,1021.02,39.69,39.69,39.69,Jingdezhen,,,,,,CN,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",92.0003,,2.71
24,-9.8281,124.4458,1553551364,1626703,938.69,97,1011.14,1011.14,69.21,69.21,69.21,Bone,,,,,,ID,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",13.5003,,1.59
24,3.9359,102.3652,1553551365,1732602,977.65,97,1010.7,1010.7,71.37,71.37,71.37,Jerantut,,,,,,MY,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",329.5,,2.04
92,-28.7745,32.0555,1553551365,962367,996.69,99,1014.3,1014.3,71.37,71.37,71.37,Richards Bay,,,1.605,,,ZA,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",201.0,,12.21
0,-23.866,35.3844,1553551366,1045114,1006.05,100,1009.82,1009.82,75.6,75.6,75.6,Inhambane,,,,,,MZ,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",96.5003,,5.39
90,64.4238,-173.2276,1553549400,4031574,,86,987.0,,33.8,33.8,33.8,Provideniya,,,,,,RU,"[{'id': 615, 'main': 'Snow', 'description': 'light rain and snow', 'icon': '13d'}]",130.0,15.0,22.37
20,38.5167,-28.7001,1553547600,3372707,,82,1023.0,,59.0,59.0,59.0,Ribeira Grande,,,,,,PT,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",40.0,,6.93
0,-46.4276,-67.5191,1553551367,3863379,1003.33,67,1024.38,1024.38,58.77,58.77,58.77,Mar del Plata,,,,,,AR,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01d'}]",97.5003,,11.43
75,-21.3586,55.7679,1553551279,935215,,74,1009.0,,75.29,80.6,64.99,Saint-Philippe,,,,,,RE,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",40.0,,5.82
92,-34.0528,23.3716,1553551368,964712,1015.57,100,1022.26,1022.26,63.81,63.81,63.81,Plettenberg Bay,,,0.15,,,ZA,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",268.0,,6.17
0,-8.8978,-35.1478,1553551368,3388456,1002.53,76,1011.1,1011.1,81.27,81.27,81.27,Sao Jose da Coroa Grande,,,,,,BR,"[{'id': 800, 'main': 'Clear', 'description': 'Sky is Clear', 'icon': '01n'}]",98.5003,,7.4
75,50.6996,-127.4199,1553547600,6111862,,70,1012.0,,48.2,48.2,48.2,Port Hardy,,,,,,CA,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",30.0,,5.82
90,69.444,-133.032,1553547600,6170031,,92,1014.0,,21.2,21.2,21.2,Tuktoyaktuk,,,,,,CA,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",300.0,,5.82
20,53.8468,40.5344,1553551370,479426,992.05,81,1010.14,1010.14,23.49,23.49,23.49,Svobodnyy,,,,,,RU,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",216.0,,5.17
5,22.8938,-109.9112,1553550939,3985710,,32,1016.0,,81.63,87.01,75.0,Cabo San Lucas,,,,,,MX,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '02d'}]",240.0,,10.29
92,7.9808,49.8184,1553551370,60019,1000.77,98,1011.82,1011.82,80.01,80.01,80.01,Eyl,,,0.125,,,SO,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",61.5003,,9.64
40,-42.8826,147.3281,1553551215,2163355,,43,1002.0,,53.47,55.4,52.0,Hobart,,,,,,AU,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",300.0,,21.92
68,-21.2078,-159.775,1553549400,4035715,,83,1013.0,,82.4,82.4,82.4,Avarua,,,0.13,,,CK,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",70.0,,10.29
75,-53.1627,-70.9081,1553551351,3874787,,82,1020.0,,51.42,51.8,51.01,Punta Arenas,,,,,,CL,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",250.0,,25.28
20,-3.7125,-38.6045,1553551200,6320062,,78,1010.0,,81.75,82.4,81.0,Vila Velha,,,,,,BR,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",30.0,,3.36
40,33.9258,134.505,1553549678,1865309,,75,1014.0,,45.7,48.2,42.8,Katsuura,,,,,,JP,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",150.0,,3.36
20,-34.5331,20.0428,1553551243,1015776,,77,1022.0,,62.6,64.4,61.0,Bredasdorp,,,,,,ZA,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",300.0,,2.24
75,-20.4081,57.7,1553551147,934322,,94,1009.0,,75.92,77.0,75.0,Mahebourg,,,,,,MU,"[{'id': 521, 'main': 'Rain', 'description': 'proximity shower rain', 'icon': '09n'}]",150.5,,11.43
88,60.4667,166.1,1553551374,2120591,957.17,80,976.66,976.66,15.66,15.66,15.66,Tilichiki,,,,,,RU,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",4.50031,,17.47
